CO_REGSAUD;DS_NOME;Ano;tx_nat
52002;Centro Sul;2013;15,43
52003;Entorno Norte;2013;15,84
52004;Entorno Sul;2013;15,96
52005;Estrada de Ferro;2013;13,20
52006;Nordeste I;2013;16,64
52007;Nordeste II;2013;14,40
52008;Norte;2013;12,86
52009;Oeste I;2013;11,01
52010;Oeste II;2013;11,21
52011;Pirineus;2013;15,34
52012;Rio Vermelho;2013;12,73
52013;São Patrício I;2013;11,83
52014;Serra da Mesa;2013;12,10
52015;Sudoeste I;2013;14,72
52016;Sudoeste II;2013;15,71
52017;Sul;2013;13,20
52018;São Patrício II;2013;12,55
53001;Distrito Federal;2013;15,96
55;Brasil;2013;14,45
