CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
41001;1ª RS Paranaguá;2010;265392;131448;133944;49,53;50,47
41002;2ª RS Metropolitana;2010;3223836;1569212;1654624;48,68;51,32
41003;3ª RS Ponta Grossa;2010;575463;284100;291363;49,37;50,63
41004;4ª RS Irati;2010;160962;81321;79641;50,52;49,48
41005;5ª RS Guarapuava;2010;441070;220067;221003;49,89;50,11
41006;6ª RS União da Vitória;2010;165299;83322;81977;50,41;49,59
41007;7ª RS Pato Branco;2010;249793;123060;126733;49,26;50,74
41008;8ª RS Francisco Beltrão;2010;337703;168441;169262;49,88;50,12
41009;9ª RS Foz do Iguaçu;2010;388795;189978;198817;48,86;51,14
41010;10ª RS Cascavel;2010;507385;250574;256811;49,39;50,61
41011;11ª RS Campo Mourão;2010;334125;164906;169219;49,35;50,65
41012;12ª RS Umuarama;2010;265092;130698;134394;49,30;50,70
41013;13ª RS Cianorte;2010;142433;70538;71895;49,52;50,48
41014;14ª RS Paranavaí;2010;260544;128889;131655;49,47;50,53
41015;15ª RS Maringá;2010;733404;357944;375460;48,81;51,19
41016;16ª RS Apucarana;2010;346972;170731;176241;49,21;50,79
41017;17ª RS Londrina;2010;871267;422795;448472;48,53;51,47
41018;18ª RS Cornélio Procópio;2010;225961;111536;114425;49,36;50,64
41019;19ª RS Jacarezinho;2010;278111;138289;139822;49,72;50,28
41020;20ª RS Toledo;2010;358660;176116;182544;49,10;50,90
41021;21ª RS Telêmaco Borba;2010;172922;87193;85729;50,42;49,58
41022;22ª RS Ivaiporã;2010;139337;69836;69501;50,12;49,88
42001;Extremo Oeste;2010;223547;112701;110846;50,41;49,59
42002;Oeste;2010;319662;159662;160000;49,95;50,05
42003;Xanxerê;2010;189054;94453;94601;49,96;50,04
42004;Alto Vale do Itajaí;2010;269424;135504;133920;50,29;49,71
42005;Foz do Rio Itajaí;2010;555564;273073;282491;49,15;50,85
42006;Médio Vale do Itajaí;2010;666938;330203;336735;49,51;50,49
42007;Grande Florianópolis;2010;1012233;496184;516049;49,02;50,98
42008;Meio Oeste;2010;179824;89285;90539;49,65;50,35
42009;Alto Vale do Rio do Peixe;2010;274305;137046;137259;49,96;50,04
42010;Alto Uruguai Catarinense;2010;141990;70992;70998;50,00;50,00
42011;Nordeste;2010;868530;433531;434999;49,92;50,08
42012;Planalto Norte;2010;354200;177099;177101;50,00;50,00
42013;Serra Catarinense;2010;286238;141607;144631;49,47;50,53
42014;Extremo Sul Catarinense;2010;180808;89725;91083;49,62;50,38
42015;Carbonífera;2010;390791;193562;197229;49,53;50,47
42016;Laguna;2010;335328;165733;169595;49,42;50,58
43001;Região 01 - Verdes Campos;2010;416981;201473;215508;48,32;51,68
43002;Região 02 - Entre Rios;2010;124266;61260;63006;49,30;50,70
43003;Região 03 - Fronteira Oeste;2010;465038;226812;238226;48,77;51,23
43004;Região 04 - Belas Praias;2010;138103;68482;69621;49,59;50,41
43005;Região 05 - Bons Ventos;2010;203016;100419;102597;49,46;50,54
43006;Região 06 - Vale do Paranhana e Costa S;2010;212547;105335;107212;49,56;50,44
43007;Região 07 - Vale dos Sinos;2010;755770;370027;385743;48,96;51,04
43008;Região 08 - Vale do Caí e Metropolitana;2010;717914;349695;368219;48,71;51,29
43009;Região 09 - Carbonífera/Costa Doce;2010;384175;192230;191945;50,04;49,96
43010;Região 10 - Capital e Vale do Gravataí;2010;2225237;1050939;1174298;47,23;52,77
43011;Região 11 - Sete Povos das Missões;2010;286248;141048;145200;49,27;50,73
43012;Região 12 - Portal das Missões;2010;152070;73641;78429;48,43;51,57
43013;Região 13 - Diversidade;2010;222771;109548;113223;49,18;50,82
43014;Região 14 - Fronteira Noroeste;2010;226933;111684;115249;49,21;50,79
43015;Região 15 - Caminho das Águas;2010;187063;93315;93748;49,88;50,12
43016;Região 16 - Alto Uruguai Gaúcho;2010;230814;113581;117233;49,21;50,79
43017;Região 17 - Planalto;2010;382429;185362;197067;48,47;51,53
43018;Região 18 - Araucárias;2010;128088;63640;64448;49,68;50,32
43019;Região 19 - Botucaraí;2010;115609;57913;57696;50,09;49,91
43020;Região 20 - Rota da Produção;2010;161508;79662;81846;49,32;50,68
43021;Região 21 - Sul;2010;845135;409412;435723;48,44;51,56
43022;Região 22 - Pampa;2010;182579;88594;93985;48,52;51,48
43023;Região 23 - Caxias e Hortênsias;2010;532917;261177;271740;49,01;50,99
43024;Região 24 - Campos de Cima da Serra;2010;94963;47173;47790;49,68;50,32
43025;Região 25 - Vinhedos e Basalto;2010;279288;138372;140916;49,54;50,46
43026;Região 26 - Uva Vale;2010;169633;84422;85211;49,77;50,23
43027;Região 27 - Jacuí Centro;2010;200264;98431;101833;49,15;50,85
43028;Região 28 - Vinte e Oito;2010;327158;160300;166858;49,00;51,00
43029;Região 29 - Vales e Montanhas;2010;207963;103086;104877;49,57;50,43
43030;Região 30 - Vale da Luz;2010;117449;58024;59425;49,40;50,60
50001;Campo Grande;2010;1331184;661008;670176;49,66;50,34
50002;Corumbá;2010;123320;62114;61206;50,37;49,63
50003;Dourados;2010;741947;370046;371901;49,87;50,13
50004;Três Lagoas;2010;252573;126760;125813;50,19;49,81
51001;Alto Tapajós;2010;99141;51976;47165;52,43;47,57
51002;Baixada Cuiabana;2010;911482;451213;460269;49,50;50,50
51003;Araguaia Xingu;2010;76577;40629;35948;53,06;46,94
51004;Centro Norte;2010;93238;49264;43974;52,84;47,16
51005;Garças Araguaia;2010;118207;59975;58232;50,74;49,26
51006;Médio Araguaia;2010;81650;42875;38775;52,51;47,49
51007;Médio Norte Matogrossense;2010;206840;106581;100259;51,53;48,47
51008;Noroeste Matogrossense;2010;134064;70712;63352;52,74;47,26
51009;Norte Araguaia Karajá;2010;21466;11288;10178;52,59;47,41
