CO_REGSAUD;DS_NOME;Ano;TxCres_1020
52011;Pirineus;2020;1,46
52012;Rio Vermelho;2020;0,58
52013;São Patrício I;2020;0,50
52014;Serra da Mesa;2020;0,91
52015;Sudoeste I;2020;2,01
52016;Sudoeste II;2020;1,63
52017;Sul;2020;1,10
52018;São Patrício II;2020;1,68
53001;Distrito Federal;2020;2,29
55;Brasil;2020;1,07
