CO_REGSAUD;DS_NOME;Ano;Pop_0a5;Pop_6a9;Pop_10a14;Pop_15a64;Pop_65emais;Pop_Total;PopH_0a5;PopH_6a9;PopH_10a14;PopH_15a64;PopH_65emais;PopH_Total;PopM_0a5;PopM_6a9;PopM_10a14;PopM_15a64;PopM_65emais;PopM_Total;p_Pop_0a5;p_Pop_6a9;p_Pop_10a14;p_Pop_15a64;p_Pop_65emais;p_PopH_0a5;p_PopH_6a9;p_PopH_10a14;p_PopH_15a64;p_PopH_65emais;p_PopM_0a5;p_PopM_6a9;p_PopM_10a14;p_PopM_15a64;p_PopM_65emais
22001;Carnaubais;2010;14746;11248;15748;101281;14048;157071;7583;5832;8119;49951;6880;78365;7163;5416;7629;51330;7168;78706;9,39;7,16;10,03;64,48;8,94;9,68;7,44;10,36;63,74;8,78;9,10;6,88;9,69;65,22;9,11
22002;Chapada das Mangabeiras;2010;21243;15530;21296;116605;12783;187457;10886;7955;10962;59900;6049;95752;10357;7575;10334;56705;6734;91705;11,33;8,28;11,36;62,20;6,82;11,37;8,31;11,45;62,56;6,32;11,29;8,26;11,27;61,83;7,34
22003;Cocais;2010;39239;29673;41398;244295;30467;385072;19991;15269;21275;121281;14663;192479;19248;14404;20123;123014;15804;192593;10,19;7,71;10,75;63,44;7,91;10,39;7,93;11,05;63,01;7,62;9,99;7,48;10,45;63,87;8,21
22004;Entre Rios;2010;107576;75314;108036;799216;76673;1166815;54949;38404;54768;375045;32900;556066;52627;36910;53268;424171;43773;610749;9,22;6,45;9,26;68,50;6,57;9,88;6,91;9,85;67,45;5,92;8,62;6,04;8,72;69,45;7,17
22005;Planície Litorânea;2010;26305;18993;26971;173309;19624;265202;13384;9656;13712;85238;8875;130865;12921;9337;13259;88071;10749;134337;9,92;7,16;10,17;65,35;7,40;10,23;7,38;10,48;65,13;6,78;9,62;6,95;9,87;65,56;8,00
22006;Serra da Capivara;2010;14211;10491;14358;91010;10668;140738;7314;5259;7381;46062;4959;70975;6897;5232;6977;44948;5709;69763;10,10;7,45;10,20;64,67;7,58;10,31;7,41;10,40;64,90;6,99;9,89;7,50;10,00;64,43;8,18
22007;Tabuleiros do Alto Parnaíba;2010;5167;3609;4862;28242;2785;44665;2587;1801;2416;14410;1383;22597;2580;1808;2446;13832;1402;22068;11,57;8,08;10,89;63,23;6,24;11,45;7,97;10,69;63,77;6,12;11,69;8,19;11,08;62,68;6,35
22008;Vale do Canindé;2010;10123;7577;11024;67004;8764;104492;5228;3788;5640;32985;3999;51640;4895;3789;5384;34019;4765;52852;9,69;7,25;10,55;64,12;8,39;10,12;7,34;10,92;63,87;7,74;9,26;7,17;10,19;64,37;9,02
22009;Vale do Rio Guaribas;2010;33423;25364;35680;236359;29037;359863;17008;12814;18078;116293;13820;178013;16415;12550;17602;120066;15217;181850;9,29;7,05;9,91;65,68;8,07;9,55;7,20;10,16;65,33;7,76;9,03;6,90;9,68;66,02;8,37
22010;Vale do Sambito;2010;9285;7186;9965;66975;10613;104024;4707;3641;5109;32481;5076;51014;4578;3545;4856;34494;5537;53010;8,93;6,91;9,58;64,38;10,20;9,23;7,14;10,01;63,67;9,95;8,64;6,69;9,16;65,07;10,45
22011;Vale dos Rios Piauí e Itaueiras;2010;19084;14735;20576;131307;17259;202961;9646;7564;10521;65002;7923;100656;9438;7171;10055;66305;9336;102305;9,40;7,26;10,14;64,70;8,50;9,58;7,51;10,45;64,58;7,87;9,23;7,01;9,83;64,81;9,13
23001;1ª Região Fortaleza;2010;218263;152124;224463;1841170;170643;2606663;111357;77384;113151;859074;65321;1226287;106906;74740;111312;982096;105322;1380376;8,37;5,84;8,61;70,63;6,55;9,08;6,31;9,23;70,05;5,33;7,74;5,41;8,06;71,15;7,63
23002;2ª Região Caucaia;2010;54597;39722;61205;373675;34861;564060;27822;20150;30880;185033;16079;279964;26775;19572;30325;188642;18782;284096;9,68;7,04;10,85;66,25;6,18;9,94;7,20;11,03;66,09;5,74;9,42;6,89;10,67;66,40;6,61
23003;3ª Região Maracanaú;2010;47574;32663;50660;332329;29113;492339;24286;16837;26185;162410;13148;242866;23288;15826;24475;169919;15965;249473;9,66;6,63;10,29;67,50;5,91;10,00;6,93;10,78;66,87;5,41;9,33;6,34;9,81;68,11;6,40
23004;4ª Região Baturité;2010;12926;9360;14776;84541;11582;133185;6487;4756;7593;42596;5465;66897;6439;4604;7183;41945;6117;66288;9,71;7,03;11,09;63,48;8,70;9,70;7,11;11,35;63,67;8,17;9,71;6,95;10,84;63,28;9,23
